,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
15, lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing disensor gue mengakui hadis nabi dan itu sahih disensor kayak kamu pasti menolak makanya kamu ahlun nar ,1,1,1,0,1,0,0,0,0,1,0,0
16,belakangan ini kok pikiran disensor banget ya ,0,0,0,0,0,0,0,0,0,0,0,0
17,ari sama beki adalah rapi disensor xf0 x9f x98 x86 xf0 x9f x98 x86 ,0,1,0,0,0,0,0,0,0,0,0,0
18,jadi cowok itu harus gantle kalau tidak gantle itu namanya disensor ,1,1,0,1,0,0,0,1,0,0,1,0
19, alga mnr bom xf0 x9f x98 x82 ,0,0,0,0,0,0,0,0,0,0,0,0
20,disensor ya tapi gue jarang mengambek takut wkwk gue kan budak cinta ,0,1,0,0,0,0,0,0,0,0,0,0
21, kalau kamu disensor pasti peluang disakiti nya lebih gede sih ,0,0,0,0,0,0,0,0,0,0,0,0
22, joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,0,0,0,0,0,0,0,0,0,0,0,0
23,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0
24,bandara udara internasional ke ajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan ,0,0,0,0,0,0,0,0,0,0,0,0
25,siapapun gubernur dan presidennya rakyatnya ya kita juga ,0,0,0,0,0,0,0,0,0,0,0,0
26,ini sih kerjaannya delay mulu disensor ,1,1,0,1,0,0,0,0,1,0,1,0
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0
28, partai disensor indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong ,1,0,0,1,0,1,0,0,0,0,1,0
29, itu adalah sudah nenek nenek saya heran sama disensor biasanya bohong terus ,1,1,1,0,0,0,0,0,1,1,0,0
30, islam nusantara produk jil dipasarkan dengan gencar oleh disensor xc2 xb2 jil dan sementara jil anti arab tapi pro disensor dan kata almarhum kh hasyim muzadi ,1,0,0,1,1,0,0,0,0,0,1,0
31,dari habis sahur sampai jam 10 si bayi sudah disensor empat kali sekarang rasanya lemas tak terkira xf0 x9f xa4 xa2 ,0,0,0,0,0,0,0,0,0,0,0,0
32, tidak kak emak adalah tidak suka sama yang disensor wkwk ,0,0,0,0,0,0,0,0,0,0,0,0
33, kelakuan disensor jaman now disensor saja sambil live di blued disensor video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
34, tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang ,0,0,0,0,0,0,0,0,0,0,0,0
35,pegawai guardian training lagi kayak mentang mentang gue kayak disensor cuma kaos sama flat shoes bertanya dijutekin disensor memang malas belinya juga kabur gue ke matahari ,1,1,0,1,0,0,0,0,1,0,1,0
36, xe2 x80 x9dpara disensor yang telah melukai lady harus menerima ganjaran seratus kali lipat xe2 x80 x9d sanji selamat ulang tahun pelaut jkt48 ,0,1,0,0,0,0,0,0,0,0,0,0
37,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri ,0,0,0,0,0,0,0,0,0,0,0,0
38, presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi,0,0,0,0,0,0,0,0,0,0,0,0
39,disensor memang tujuannya fabiano ,0,1,0,0,0,0,0,0,0,0,0,0
40,tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang disensor disensor disensor farhat abbas law ,1,1,1,0,1,0,1,0,0,1,0,0
41,sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia masya allah ,0,0,0,0,0,0,0,0,0,0,0,0
42,disensor baru kali ini lihat orang disensor mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
43, gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan pese a rakercabsu ,0,0,0,0,0,0,0,0,0,0,0,0
44, apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa ,0,0,0,0,0,0,0,0,0,0,0,0
45,ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
46, positif kok nse positif respon masyarakat terhadap dan cangkul impor dan garam impor dan beras impor dan jagung impor dan tenaga kerja impor dan esemka impor dan nurl,0,0,0,0,0,0,0,0,0,0,0,0
47, kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu dan istilah xc2 xa0sembahyang xc2 xa0pun lahir dari tradisi ritus xc2 xa0menyembahhyang yang tunggal sama dengan xc2 xa0shalat menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
48,kamu pendidikan tinggi tapi disensor tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok disensor,1,1,1,0,0,0,0,0,1,1,0,0
49, ahok the best abaikan kaum disensor otak micin ,1,1,0,1,0,0,0,0,1,0,1,0
50, sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan disensor dan kalau tidak begitu dia tidak makan hehe ,1,1,1,0,0,0,0,0,1,1,0,0
51, awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu b ini pulang sambil ky nhn ngeden disensor xf0 x9f x98 x8b,1,1,1,0,0,0,1,0,0,1,0,0
52,pinokio umur 3 tahunan itu 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
53, cerita silat lae xf0 x9f x98 x80 semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina ,0,0,0,0,0,0,0,0,0,0,0,0
54, benci sekali dengan umat islam,1,0,0,1,1,0,0,0,0,0,1,0
55, provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara disensor mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
56, dari pada gue disensor ,0,1,0,0,0,0,0,0,0,0,0,0
57, wkwk disensor lowo ,1,1,0,1,0,0,0,0,1,0,1,0
58,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan disensor makhluk yang alim amp telah beribadah beratus ratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
59,a orang yang suka ke konser konser sedikit boros ,0,0,0,0,0,0,0,0,0,0,0,0
60, sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga ,0,0,0,0,0,0,0,0,0,0,0,0
61,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus khofifah emil nomor satu,0,0,0,0,0,0,0,0,0,0,0,0
62, sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman teman gue idol gue disensor disensor ,1,1,1,0,0,0,0,1,0,1,0,0
63,saya suka video uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong ,0,0,0,0,0,0,0,0,0,0,0,0
64,budaya disensor bersungguh kalau hal hal islam tidak diindahkan ,0,0,0,0,0,0,0,0,0,0,0,0
65, xf0 x9f x8e xb6 lah lah lah hem hem xf0 x9f x8e xa7 semua diam semua disensor dan kita coba tanya sama rumput yang bergoyang dan xe2 x99 xab xe2 x99 xab xe2 x99 xab xe2 x99 xaa xe2 x99 xaa xe2 x99 xaa ,0,0,0,0,0,0,0,0,0,0,0,0
66,apabila disensor membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a xe2 x80 x99raf 200 dan fussilat 36 ,0,0,0,0,0,0,0,0,0,0,0,0
67, kalau kamu disensor apa sibuk dengan agama orang ,0,0,0,0,0,0,0,0,0,0,0,0
68,lengserkan jokowi disensor ,1,1,1,0,0,0,0,0,1,0,0,1
69, selamat hari kakak ini 2019 ganti presiden 2019 presiden baru,0,0,0,0,0,0,0,0,0,0,0,0
70, disensor disensor hati hati terhadap anak anak kita terutama di kamar mandi laki laki jangan biarkan sendiri uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
71, iya disensor ,1,1,1,0,0,0,0,0,1,1,0,0
72, karena budaya indonesia ,0,0,0,0,0,0,0,0,0,0,0,0
73, yang mengajarkan salat a saja itu orang disensor dia hanya ingin memecah belah islam ,0,0,0,0,0,0,0,0,0,0,0,0
74, x kamu berbicara saja tidak benar disensor ,1,1,1,0,0,0,0,0,1,1,0,0
75, kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik disensor padahal negara negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0
76,tapi masih menikmati kebijakan yang dulu diusulkan partai disensor indonesia lah iya apa ,1,0,0,1,0,1,0,0,0,0,1,0
77,kalau seumpama orang cina di usir paksa dari indonesia bagaimana,1,0,0,1,0,1,0,0,0,0,1,0
78, bunda disensor yuk ,0,1,0,0,0,0,0,0,0,0,0,0
79, cina disensor cina maling dan usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1
80,bung karno anti disensor dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti disensor atau pro disensor karena kebo ohannya dan kalau kami keliru kami tutup akun ,0,0,0,0,0,0,0,0,0,0,0,0
81,proyek korupsi disensor susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
82, wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas disensor setiap kali bicara ,0,0,0,0,0,0,0,0,0,0,0,0
83,ab pribadi yang senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0
84, terus menurut kamu kitab suci agama apa yang di bilang om mendadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
85, suka menutup mata tidak ditutup pun sudah terlihat te utup gara gara disensor ,0,0,0,0,0,0,0,0,0,0,0,0
86, saya sebagai muslim tidak merasa pak menistakan kitab suci alquran an karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum,0,0,0,0,0,0,0,0,0,0,0,0
87, eh kasar kamu disensor ,1,1,1,0,0,0,0,0,1,1,0,0
88,bentar lagi gue rilis album the disensor si wkwk ,0,0,0,0,0,0,0,0,0,0,0,0
89, ada disensor bang dia merasa paling benar ,1,1,1,0,0,0,0,0,1,1,0,0
90,disensor banget gue mentwit apa barusan he ,0,1,0,0,0,0,0,0,0,0,0,0
91,kamu disensor atau bagaimana disensor uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
92, awas bintitan kamu mengintip disensor kucing ,0,1,0,0,0,0,0,0,0,0,0,0
93, bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh ,0,1,0,0,0,0,0,0,0,0,0,0
94, gue menyarankan tidak perlu banyak disensor maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja disensor sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh ,1,1,1,0,1,0,0,0,0,1,0,0
95,jangan salah target bukan ahok agenda utama lengserkan jokowi ,1,0,1,0,0,0,0,0,1,0,0,1
96, masa baru kena tagar saja sudah kepanasan ingin tahu banget 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
97,maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu disensor uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
98, huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda dulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang p sama kali di tarutung dan nah sekarang anda saya k,0,0,0,0,0,0,0,0,0,0,0,0
99,apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak ,0,0,0,0,0,0,0,0,0,0,0,0
100,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0
101, dan yang takut dengan azan adalah disensor ,0,0,0,0,0,0,0,0,0,0,0,0
102, yang disensor itu adalah disensor disensor tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal ,1,1,0,1,0,0,0,0,1,0,1,0
103, wah disensor sewot dan xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 ,1,1,1,0,0,0,0,0,1,1,0,0
104,2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
105,padahal gubernur saat ini djarot mayoritas pak ai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
106, disensor rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya ,0,0,0,0,0,0,0,0,0,0,0,0
107,saat orang orang saling menuding disensor disensor disensor sesungguhnya be epuk tangan ,0,0,0,0,0,0,0,0,0,0,0,0
108, nah lah katanya anti disensor ,0,0,0,0,0,0,0,0,0,0,0,0
109,selamat pak semoga bisa terus berkiprah bahkan tingkat nasional ,0,0,0,0,0,0,0,0,0,0,0,0
110, asyik menang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0
111, yang saya ketahui bahwa diketapang banyak tenaga kerja disensor disensor yang bekerja di berbagai perusahaan termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak,0,0,0,0,0,0,0,0,0,0,0,0
112, anak disensor tidak jauh jauh dari hobi zina haha ,1,1,1,0,0,0,0,1,0,1,0,0
113, aku bom surat berharga syariah negara ,0,0,0,0,0,0,0,0,0,0,0,0
114, istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003,0,0,0,0,0,0,0,0,0,0,0,0
115,pada 1979 house select committee on assassination hsca menemukan disensor investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya ,0,0,0,0,0,0,0,0,0,0,0,0
116, tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin ,0,0,0,0,0,0,0,0,0,0,0,0
117, ian disensor ,0,1,0,0,0,0,0,0,0,0,0,0
118, mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang disensor orang yang maaf sejak lahir disensor sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat disensor itu juga pintar dan sangat licik ,0,1,0,0,0,0,0,0,0,0,0,0
119,pendaftaran calon presiden untuk pemilihan presiden 2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham 2019 ganti presiden ,1,0,0,1,0,0,0,0,1,0,1,0
120,sih disensor sudah tau pemerintah disensor disensor ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya disensor uniform resource locator,1,1,1,0,0,1,0,0,0,1,0,0
121,dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lo dan gue merasa jadi anak yang disensor saja begitu ke laki laki ,0,1,0,0,0,0,0,0,0,0,0,0
122,cina perusak bangsa usir setuju ,1,0,0,1,0,1,0,0,0,0,0,1
123, 2019 ganti presiden secara konstitusional hak setiap rakyat woiii begini nih kalau plonga plongo tapi kelakuan otoriter ,1,1,1,0,0,0,0,0,1,1,0,0
124,mari kita wujudkan pilihan kepala daerah kota bengkulu 2018 aman dan damai coki adem86 98heru ,0,0,0,0,0,0,0,0,0,0,0,0
125,mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara kenapa tidak ada kristen nusantara buddha hindu bahkan kong hucu nusantara ,0,0,0,0,0,0,0,0,0,0,0,0
126,kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
127,cowok yang jago drasex mana sini disensor sama adik luvian ,0,1,0,0,0,0,0,0,0,0,0,0
128, kroasia itu disensor tau apa belajar sama disensor sudah lupa sama kapling sorga ,1,1,0,1,1,0,0,0,0,0,1,0
129, lah bukan nya menteri suha o ada yang disensor ,1,1,1,0,0,0,0,1,0,1,0,0
130,gue tau lah bukan yang dulu yang masih disensor dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk ,0,0,0,0,0,0,0,0,0,0,0,0
131,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam ,0,0,0,0,0,0,0,0,0,0,0,0
132,kejar setoran memang cukup disensor mana rupiah turun xf0 x9f x98 xa5 ,1,1,1,0,0,0,0,0,1,1,0,0
133,semoga ini ada tindak lanjutnya pelaporan terhadap penista agama adek armando akan dilakukan langsung oleh ketua umum front pembela islam kh shobri lubis ke badan reserse kriminal markas besar kepolisian republik indonesia gambir jaka a pusat pada selasa 10 4 pukul 13 00 waktu indonesia bagian barat perhaps ,1,0,1,0,1,0,0,0,0,1,0,0
134, disensor hajar ,1,1,1,0,0,0,0,0,1,0,0,1
135, disensor mati kalau kebanyakan minum ,1,0,0,1,0,0,0,0,1,0,1,0
136,uniform resource locator ahok tng mereka terus was was hidupnya ,1,0,1,0,0,0,0,0,1,1,0,0
137,itu baru di sul teng ini ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0
138,6 pride yunani xe1 xbd x99 xcf x80 xce xb5 xcf x81 xce xb7 xcf x86 xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia disensor dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri ,0,0,0,0,0,0,0,0,0,0,0,0
139,aku be anya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku be anya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan dan aku mulai menjadi terasing dan disensor di mata manusia tak apa duhai diri ada,0,0,0,0,0,0,0,0,0,0,0,0
140, tak hanya kurang be aji nya komisi pemberantasan korupsi era ini tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak susilo bambang yudhoyono ,1,0,0,1,0,0,0,0,1,0,1,0
141, admin disensor di pak ai disensor kenapa ai disensor untuk orang disensor ,1,1,0,1,0,0,0,0,1,0,1,0
142, ayu ting ting goyang hot dekat raffi ahmad nagita slavina disensor norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
143,video tentang tenaga kerja disensor dibuat oleh malaysia tapi mengutip pernyataan saya di ,0,0,0,0,0,0,0,0,0,0,0,0
144,ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
145,random pagi pagi ada bapak bapak menyamper ke meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen ,0,0,0,0,0,0,0,0,0,0,0,0
146, kok gue disensor ,0,1,0,0,0,0,0,0,0,0,0,0
147,disensor disensor ingin disodok disensor gede ,0,1,0,0,0,0,0,0,0,0,0,0
148,jokowi saja yang mundur tutup uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
149, berbicara apa itu mulut kok sepe i disensor beli kaca dulu lihat dirimu bro ,1,1,1,0,0,0,0,1,0,1,0,0
150, ada amin racist nada amat dani nada ratna sih paiiit nada sih disensor nada sih lobang anus jadi jangan takut oi oi kehabisan obat penenang ya ,1,1,1,0,0,0,0,0,1,1,0,0
151, tunggu komando imam disensor cabul disensor bir xf0 x9f x8d xba dan kenapa kenapa bawa ulama dasar banj sempak ,1,1,1,0,0,0,0,1,0,1,0,0
152,kabinet berantakan pemecah belah persatuan hanya ada di disensor ini ,1,0,0,1,0,0,0,0,1,0,1,0
153,ih mengakui lebih pintar dari orang politik mengaca dulu oi tampang kamu saja k xc3 xa6k orang disensor wkwk ,1,1,1,0,0,0,1,0,0,1,0,0
154, partai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible lalu dilelang murah pada disensor cina ntb contoh kasus partai demokrasi indonesia perjuangan mau menang dasar disensor ,1,1,0,1,0,0,0,0,1,0,1,0
155, tidak percaya sama mulut disensor mu bawang ,1,1,1,0,0,0,0,0,1,1,0,0
156,2019 jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana partai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh susilo bambang yudhoyono tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai sudah jika 3 poros di pemilihan presiden mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
157, jangan kayak disensor kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden 2019 melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
158,bebal ,0,0,0,0,0,0,0,0,0,0,0,0
159,5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp disensor karena dapat menghambat agenda dan kepentingan mereka obviously ,0,0,0,0,0,0,0,0,0,0,0,0
160, umuh begitu persib persib disensor dan xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 ,1,1,0,1,0,0,0,0,1,0,1,0
161, buat film muslim pilih ahok mati enggak di disalatkan dijamin laris ,1,0,1,0,0,0,0,0,1,1,0,0
162,tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah ,0,0,0,0,0,0,0,0,0,0,0,0
163, eh kenapa muka merah merah itu tak dapat cendol ke bukan lah disensor cuaca sekarang nih panas ,0,1,0,0,0,0,0,0,0,0,0,0
164,pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi sebenarnya itu media menumpahkan sakit hati katak dan disensor ehe,1,1,0,1,0,0,0,0,1,0,1,0
165,giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini rabu 11 april 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah 2018 di desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan dan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
166,sayang banget ya melihat perempuan kayak begini tidak ada status apa apa tetapi sudah menempel sama laki laki sana sini aduh nagita slavina blak blak sebut ayu ting ting disensor xe2 x80 x93 viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
167, jangan lupa juga kang umat katolik dan minoritas lainnya diperhatikan gubernur untuk semua golongan bukan satu golongan ,0,0,0,0,0,0,0,0,0,0,0,0
168, kan saya bukan disensor sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi disensor ,1,1,1,0,0,0,0,0,1,1,0,0
169, kelemahan gerindra itu ada di orang ini prabowo turun elektabilitasnya karena disensor fadli zon surat pemberitahuan tahunan durno ,1,1,1,0,0,0,0,0,1,1,0,0
170,selamat hari kakak ini setiap kali selalu dirayakan lalu apa maknanya kali ini ,0,0,0,0,0,0,0,0,0,0,0,0
171,foto memang disensor tetapi memiliki banyak a i yang susah dia ikan sama sepe i kamu susah dia ikan mau putus atau lanjut ,0,0,0,0,0,0,0,0,0,0,0,0
